image,loss,psnr,ssim,lpips
0,0.0343,20.6651,0.3459,0.8835
1,0.0141,24.5367,0.6751,0.4910
2,0.0150,24.2531,0.7621,0.4043
3,0.0487,19.1488,0.3720,0.7742
4,0.0290,21.3992,0.3889,0.8780
5,0.0269,21.7249,0.6212,0.5910
6,0.0806,16.9579,0.2269,0.9961
7,0.0320,20.9674,0.6229,0.5836
8,0.0215,22.6992,0.4008,0.8013
9,0.0249,22.0659,0.4862,0.7528
10,0.0274,21.6455,0.4423,0.8658
11,0.0380,20.2216,0.4999,0.7378
12,0.0307,21.1447,0.5953,0.6450
13,0.0267,21.7502,0.7377,0.4285
14,0.0219,22.6219,0.6072,0.6021
15,0.0158,24.0297,0.5391,0.7734
16,0.0356,20.5118,0.5314,0.6967
17,0.0436,19.6237,0.5817,0.6228
18,0.0364,20.4146,0.3761,0.8487
19,0.1014,15.9595,0.3061,0.9282
20,0.0817,16.8964,0.4259,0.5850
21,0.0411,19.8803,0.3771,0.8459
22,0.0444,19.5477,0.5471,0.6727
23,0.0372,20.3153,0.6377,0.6489
24,0.0513,18.9211,0.3832,0.8458
25,0.0534,18.7450,0.4812,0.7424
26,0.0145,24.4003,0.7220,0.7717
27,0.1711,13.6872,0.5009,0.8977
28,0.0233,22.3409,0.3539,0.8422
29,0.0379,20.2324,0.4692,0.7443
30,0.0407,19.9249,0.4743,0.8345
31,0.0387,20.1478,0.5033,0.7806
32,0.0241,22.2049,0.7075,0.6191
33,0.0387,20.1407,0.5357,0.6511
34,0.0530,18.7746,0.2238,1.0051
35,0.0586,18.3400,0.4683,0.7291
36,0.0547,18.6371,0.3958,0.8688
37,0.0056,28.5676,0.7669,0.5929
38,0.0221,22.5750,0.5756,0.5741
39,0.0322,20.9422,0.4044,0.8517
40,0.0342,20.6860,0.5548,0.8551
41,0.0218,22.6323,0.6106,0.5901
42,0.0070,27.5492,0.9204,0.1646
43,0.0092,26.3676,0.8804,0.3343
44,0.0706,17.5307,0.4470,0.7993
45,0.0740,17.3311,0.4756,0.7909
46,0.0491,19.1082,0.4441,0.7776
47,0.0426,19.7277,0.4652,0.7742
48,0.1216,15.1696,0.2822,0.9385
49,0.0283,21.5001,0.5145,0.7971
50,0.0398,20.0218,0.6911,0.4593
51,0.0141,24.5306,0.6726,0.7772
52,0.0247,22.0960,0.6964,0.5657
53,0.0503,19.0032,0.4210,0.7920
